description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
Acorn stew (Apache),Phenylalanine,g,35182,3500,0.33,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Phosphorus,mg,35182,3500,62.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Potassium,mg,35182,3500,110.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Proline,g,35182,3500,0.46,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Sodium,mg,35182,3500,130.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Retinol,µg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Riboflavin,mg,35182,3500,0.125,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Selenium,µg,35182,3500,8.3,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Serine,g,35182,3500,0.33,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Protein,g,35182,3500,6.81,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Pantothenic Acid,mg,35182,3500,0.212,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Magnesium,mg,35182,3500,12.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Methionine,g,35182,3500,0.16,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Menaquinone-4,µg,35182,3500,0.9,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Manganese,mg,35182,3500,0.14,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Maltose,g,35182,3500,0.19,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Lysine,g,35182,3500,0.58,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Leucine,g,35182,3500,0.62,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Lactose,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Isoleucine,g,35182,3500,0.35,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Iron,mg,35182,3500,1.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Histidine,g,35182,3500,0.23,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Starch,g,35182,3500,6.57,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Niacin,mg,35182,3500,2.14,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Sucrose,g,35182,3500,0.16,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Total lipid (fat),g,35182,3500,3.47,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Thiamin,mg,35182,3500,0.175,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Glycine,g,35182,3500,0.42,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Zinc,mg,35182,3500,1.6,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin K,µg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Vitamin E, added",mg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin E,mg,35182,3500,0.3,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin C,mg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin B-6,mg,35182,3500,0.055,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Vitamin B-12, added",µg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin B-12,µg,35182,3500,0.68,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Vitamin A,µg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Valine,g,35182,3500,0.39,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Tyrosine,g,35182,3500,0.25,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Tryptophan,g,35182,3500,0.04,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Total Water,g,35182,3500,79.78,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Total Fiber,g,35182,3500,0.7,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocotrienol, gamma",mg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocotrienol, delta",mg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocotrienol, beta",mg,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocotrienol, alpha",mg,35182,3500,0.02,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocopherol, gamma",mg,35182,3500,0.23,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocopherol, delta",mg,35182,3500,0.05,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Tocopherol, beta",mg,35182,3500,0.12,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Threonine,g,35182,3500,0.36,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"Sugars, total",g,35182,3500,0.34,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Glutamic acid,g,35182,3500,1.51,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),21:05,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Galactose,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),Glucose (dextrose),g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),20:5 n-3 (EPA),g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),20:4 undifferentiated,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),20:3 undifferentiated,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),"20:2 n-6 c,c",g,35182,3500,0.007,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),20:01,g,35182,3500,0.01,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),20:00,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),18:3 undifferentiated,g,35182,3500,0.01,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),18:2 undifferentiated,g,35182,3500,0.26,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),18:1 undifferentiated,g,35182,3500,1.51,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),22:00,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),18:04,g,35182,3500,0.02,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),17:00,g,35182,3500,0.04,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),16:1 undifferentiated,g,35182,3500,0.11,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),16:00,g,35182,3500,0.75,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),15:01,g,35182,3500,0.0,,,,3500,American Indian/Alaska Native Foods
Acorn stew (Apache),15:00,g,35182,3500,0.01,,,,3500,American Indian/Alaska Native Foods
