description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Babyfood, Baby MUM MUM Rice Biscuits",Phosphorus,mg,3997,300,127.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Phytosterols,mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Potassium,mg,3997,300,504.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Proline,g,3997,300,0.261,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Protein,g,3997,300,12.5,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Serine,g,3997,300,0.261,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Riboflavin,mg,3997,300,0.037,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Selenium,µg,3997,300,8.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Sodium,mg,3997,300,313.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Phenylalanine,g,3997,300,0.303,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Retinol,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Pantothenic Acid,mg,3997,300,0.623,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin B-12,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Methionine,g,3997,300,0.121,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Menaquinone-4,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Manganese,mg,3997,300,0.732,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Magnesium,mg,3997,300,47.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Lysine,g,3997,300,0.295,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Lycopene,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Leucine,g,3997,300,0.438,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Isoleucine,g,3997,300,0.259,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Iron,mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Histidine,g,3997,300,0.151,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits","Sugars, total",g,3997,300,12.5,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Niacin,mg,3997,300,2.896,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Theobromine,mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin E,mg,3997,300,0.17,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Threonine,g,3997,300,0.234,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Zinc,mg,3997,300,0.65,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin K,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits","Vitamin E, added",mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Glycine,g,3997,300,0.25,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin D3 (cholecalciferol),µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin D,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin C,mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin B-6,mg,3997,300,0.571,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits","Vitamin B-12, added",µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Vitamin A,µg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Valine,g,3997,300,0.337,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Tyrosine,g,3997,300,0.259,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Tryptophan,g,3997,300,0.089,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Total lipid (fat),g,3997,300,0.87,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Total Water,g,3997,300,2.42,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits",Total Fiber,g,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
"Babyfood, Baby MUM MUM Rice Biscuits","Tocotrienol, gamma",mg,3997,300,0.0,biscuit,4.0,8.0,300,Baby Foods
