description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Alcoholic Beverage, wine, table, red, Barbera","Fatty acids, total trans",g,14101,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Total lipid (fat),g,14101,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Protein,g,14101,1400,0.07,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Energy,kcal,14101,1400,85.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Total Water,g,14101,1400,86.29,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Carbohydrate,g,14101,1400,2.79,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Ash,g,14101,1400,0.23,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Alcohol,g,14101,1400,10.6,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Barbera",Energy,kJ,14101,1400,355.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Total Water,g,14152,1400,85.62,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Protein,g,14152,1400,0.07,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy","Fatty acids, total trans",g,14152,1400,0.0,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Energy,kcal,14152,1400,86.0,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Total lipid (fat),g,14152,1400,0.0,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Carbohydrate,g,14152,1400,3.69,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Ash,g,14152,1400,0.34,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Alcohol,g,14152,1400,10.3,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Burgundy",Energy,kJ,14152,1400,360.0,fl oz,1.0,29.5,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Total lipid (fat),g,14098,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Total Water,g,14098,1400,86.59,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Protein,g,14098,1400,0.07,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc","Fatty acids, total trans",g,14098,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Energy,kcal,14098,1400,83.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Carbohydrate,g,14098,1400,2.45,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Ash,g,14098,1400,0.27,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Alcohol,g,14098,1400,10.6,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Franc",Energy,kJ,14098,1400,349.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon","Fatty acids, total trans",g,14097,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Total lipid (fat),g,14097,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Protein,g,14097,1400,0.07,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Energy,kcal,14097,1400,83.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Total Water,g,14097,1400,86.56,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Carbohydrate,g,14097,1400,2.6,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Ash,g,14097,1400,0.29,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Energy,kJ,14097,1400,347.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",Alcohol,g,14097,1400,10.5,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Carignane",Total Water,g,14109,1400,87.88,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Carignane",Protein,g,14109,1400,0.07,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Carignane","Fatty acids, total trans",g,14109,1400,0.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Carignane",Energy,kcal,14109,1400,74.0,fl oz,1.0,29.4,1400,Beverages
"Alcoholic Beverage, wine, table, red, Carignane",Total lipid (fat),g,14109,1400,0.0,fl oz,1.0,29.4,1400,Beverages
