description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Cereals ready-to-eat, ALPEN",Potassium,mg,43218,800,418.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Phosphorus,mg,43218,800,371.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Niacin,mg,43218,800,2.12,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Magnesium,mg,43218,800,94.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Lycopene,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Lutein + zeaxanthin,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Iron,mg,43218,800,3.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Folic acid,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Fatty acids, total polyunsaturated",g,43218,800,0.925,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Folate, DFE",µg,43218,800,30.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Folate,µg,43218,800,30.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Fatty acids, total saturated",g,43218,800,0.496,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Fatty acids, total monounsaturated",g,43218,800,1.327,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Energy,kcal,43218,800,352.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Energy,kJ,43218,800,1473.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Protein,g,43218,800,11.2,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Folate, food",µg,43218,800,30.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Retinol,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin B-6,mg,43218,800,0.28,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Selenium,µg,43218,800,17.3,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Cryptoxanthin, beta",µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin K,µg,43218,800,2.5,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Zinc,mg,43218,800,3.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Vitamin E, added",mg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin E,mg,43218,800,0.51,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin D,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin C,mg,43218,800,8.7,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Vitamin B-12, added",µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin B-12,µg,43218,800,0.12,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Vitamin A,µg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Total lipid (fat),g,43218,800,3.3,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Total Water,g,43218,800,7.4,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Total Fiber,g,43218,800,9.1,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Thiamin,mg,43218,800,0.4,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Theobromine,mg,43218,800,0.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN","Sugars, total",g,43218,800,20.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
"Cereals ready-to-eat, ALPEN",Sodium,mg,43218,800,27.0,cup (1 NLEA serving),0.67,55.0,800,Breakfast Cereals
