description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Amaranth grain, cooked",Starch,g,20002,2000,16.23,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Thiamin,mg,20002,2000,0.015,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocopherol, beta",mg,20002,2000,0.38,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocopherol, delta",mg,20002,2000,0.24,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocotrienol, alpha",mg,20002,2000,0.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocotrienol, beta",mg,20002,2000,0.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Total Water,g,20002,2000,75.16,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocotrienol, gamma",mg,20002,2000,0.02,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Total Fiber,g,20002,2000,2.1,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Total lipid (fat),g,20002,2000,1.58,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Vitamin B-6,mg,20002,2000,0.113,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Vitamin E,mg,20002,2000,0.19,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Zinc,mg,20002,2000,0.86,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Sodium,mg,20002,2000,6.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocotrienol, delta",mg,20002,2000,0.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Selenium,µg,20002,2000,5.5,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Tocopherol, gamma",mg,20002,2000,0.05,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Protein,g,20002,2000,3.8,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Riboflavin,mg,20002,2000,0.022,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Ash,g,20002,2000,0.77,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Carbohydrate,g,20002,2000,18.69,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Copper,mg,20002,2000,0.149,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Energy,kJ,20002,2000,429.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Energy,kcal,20002,2000,102.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Folate,µg,20002,2000,22.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Calcium,mg,20002,2000,47.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Iron,mg,20002,2000,2.1,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Magnesium,mg,20002,2000,65.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Manganese,mg,20002,2000,0.854,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Niacin,mg,20002,2000,0.235,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Phosphorus,mg,20002,2000,148.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked","Folate, food",µg,20002,2000,22.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, cooked",Potassium,mg,20002,2000,135.0,cup,1.0,246.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Phosphorus,mg,20001,2000,557.0,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Phytosterols,mg,20001,2000,24.0,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Potassium,mg,20001,2000,508.0,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Proline,g,20001,2000,0.698,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Riboflavin,mg,20001,2000,0.2,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Retinol,µg,20001,2000,0.0,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Selenium,µg,20001,2000,18.7,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Serine,g,20001,2000,1.148,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Phenylalanine,g,20001,2000,0.542,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Protein,g,20001,2000,13.56,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Pantothenic Acid,mg,20001,2000,1.457,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Lysine,g,20001,2000,0.747,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Methionine,g,20001,2000,0.226,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Menaquinone-4,µg,20001,2000,0.0,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Manganese,mg,20001,2000,3.333,cup,1.0,193.0,2000,Cereal Grains and Pasta
"Amaranth grain, uncooked",Maltose,g,20001,2000,0.01,cup,1.0,193.0,2000,Cereal Grains and Pasta
