description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Beverage, instant breakfast powder, chocolate, not reconstituted",Selenium,µg,43205,100,12.1,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Niacin,mg,43205,100,14.24,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Riboflavin,mg,43205,100,0.2,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Retinol,µg,43205,100,625.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Protein,g,43205,100,19.9,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Potassium,mg,43205,100,947.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Phosphorus,mg,43205,100,427.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Iron,mg,43205,100,12.82,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Lycopene,µg,43205,100,0.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Lutein + zeaxanthin,µg,43205,100,0.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Folic acid,µg,43205,100,285.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted","Folate, food",µg,43205,100,0.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted","Folate, DFE",µg,43205,100,485.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Sodium,mg,43205,100,385.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Magnesium,mg,43205,100,228.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted","Sugars, total",g,43205,100,65.8,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin C,mg,43205,100,76.9,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Thiamin,mg,43205,100,0.85,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Folate,µg,43205,100,285.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Zinc,mg,43205,100,8.55,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin K,µg,43205,100,90.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted","Vitamin E, added",mg,43205,100,9.37,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin E,mg,43205,100,9.37,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin D3 (cholecalciferol),µg,43205,100,0.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Theobromine,mg,43205,100,290.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin D,µg,43205,100,0.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted","Vitamin B-12, added",µg,43205,100,1.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin B-12,µg,43205,100,1.71,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Vitamin A,µg,43205,100,625.0,tbsp,1.0,7.4,100,Dairy and Egg Products
"Beverage, instant breakfast powder, chocolate, not reconstituted",Total lipid (fat),g,43205,100,1.4,tbsp,1.0,7.4,100,Dairy and Egg Products
