description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"ARBY'S, roast beef sandwich, classic",Fructose,g,21527,2100,1.5,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Galactose,g,21527,2100,0.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total polyunsaturated",g,21527,2100,1.762,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Folate,µg,21527,2100,51.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total trans-polyenoic",g,21527,2100,0.043,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total trans-monoenoic",g,21527,2100,0.346,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total trans",g,21527,2100,0.389,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total saturated",g,21527,2100,3.399,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic","Fatty acids, total monounsaturated",g,21527,2100,3.987,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Carbohydrate,g,21527,2100,22.21,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Energy,kJ,21527,2100,1014.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Copper,mg,21527,2100,0.109,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Choline,mg,21527,2100,40.1,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Cholesterol,mg,21527,2100,30.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Calcium,mg,21527,2100,55.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Betaine,mg,21527,2100,21.3,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Glucose (dextrose),g,21527,2100,1.34,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Ash,g,21527,2100,2.41,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Energy,kcal,21527,2100,242.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Iron,mg,21527,2100,2.64,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Thiamin,mg,21527,2100,0.217,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Magnesium,mg,21527,2100,23.0,sandwich,1.0,149.0,2100,Fast Foods
"ARBY'S, roast beef sandwich, classic",Alpha-Linolenic Acid,g,21527,2100,0.152,sandwich,1.0,149.0,2100,Fast Foods
