description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Animal fat, bacon grease",Selenium,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Riboflavin,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Retinol,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Protein,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Potassium,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Phosphorus,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Lycopene,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Niacin,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Magnesium,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Lutein + zeaxanthin,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Iron,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Folic acid,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Folate, food",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Sodium,mg,4609,400,150.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Pantothenic Acid,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Sugars, total",g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin B-6,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Thiamin,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Folate, DFE",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Zinc,mg,4609,400,0.11,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin K,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Vitamin E, added",mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin E,mg,4609,400,0.6,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin D3 (cholecalciferol),µg,4609,400,2.5,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Theobromine,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin D,µg,4609,400,2.5,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Vitamin B-12, added",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin B-12,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin A,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Total lipid (fat),g,4609,400,99.5,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Total Water,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Total Fiber,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Vitamin C,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Folate,µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Fatty acids, total monounsaturated",g,4609,400,44.874,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Fatty acids, total polyunsaturated",g,4609,400,11.144,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",20:01,g,4609,400,0.995,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",18:3 undifferentiated,g,4609,400,0.995,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",18:2 undifferentiated,g,4609,400,10.149,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",18:1 undifferentiated,g,4609,400,40.994,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",18:04,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",18:00,g,4609,400,13.432,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",20:4 undifferentiated,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",16:1 undifferentiated,g,4609,400,2.686,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",14:00,g,4609,400,1.294,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",12:00,g,4609,400,0.199,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",10:00,g,4609,400,0.1,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",08:00,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",06:00,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",04:00,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",16:00,g,4609,400,23.681,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",20:5 n-3 (EPA),g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Fatty acids, total saturated",g,4609,400,39.004,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",22:5 n-3 (DPA),g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Energy,kcal,4609,400,897.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Energy,kJ,4609,400,3753.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Cryptoxanthin, beta",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Choline,mg,4609,400,42.2,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Cholesterol,mg,4609,400,95.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Carotene, beta",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Copper,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Carbohydrate,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Calcium,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Caffeine,mg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Ash,g,4609,400,0.5,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",Alcohol,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",22:6 n-3 (DHA),g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease","Carotene, alpha",µg,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Animal fat, bacon grease",22:1 undifferentiated,g,4609,400,0.0,tsp,1.0,4.3,400,Fats and Oils
"Butter replacement, without fat, powder",Retinol,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Protein,g,43214,400,2.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Potassium,mg,43214,400,2.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Phosphorus,mg,43214,400,8.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Niacin,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Magnesium,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Folic acid,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Lutein + zeaxanthin,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Iron,mg,43214,400,2.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Zinc,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder","Folate, food",µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder","Folate, DFE",µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Riboflavin,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Lycopene,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Selenium,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Vitamin B-6,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder","Sugars, total",g,43214,400,5.3,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Folate,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Vitamin K,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder","Vitamin E, added",mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Vitamin E,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Vitamin D,µg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
"Butter replacement, without fat, powder",Vitamin C,mg,43214,400,0.0,cup,1.0,80.0,400,Fats and Oils
