description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Crustaceans, crab, alaska king, cooked, moist heat",Proline,g,15137,1500,0.638,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Potassium,mg,15137,1500,262.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Phosphorus,mg,15137,1500,280.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Pantothenic Acid,mg,15137,1500,0.4,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Niacin,mg,15137,1500,1.34,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Lysine,g,15137,1500,1.684,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Manganese,mg,15137,1500,0.04,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Magnesium,mg,15137,1500,63.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Leucine,g,15137,1500,1.536,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Isoleucine,g,15137,1500,0.938,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Iron,mg,15137,1500,0.76,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Protein,g,15137,1500,19.35,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Histidine,g,15137,1500,0.393,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Methionine,g,15137,1500,0.545,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Retinol,µg,15137,1500,9.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Tryptophan,g,15137,1500,0.269,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Selenium,µg,15137,1500,40.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Glycine,g,15137,1500,1.167,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Zinc,mg,15137,1500,7.62,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Vitamin C,mg,15137,1500,7.6,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Vitamin B-6,mg,15137,1500,0.18,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Vitamin B-12,µg,15137,1500,11.5,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Vitamin A,µg,15137,1500,9.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Valine,g,15137,1500,0.91,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Tyrosine,g,15137,1500,0.644,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Total lipid (fat),g,15137,1500,1.54,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Total Water,g,15137,1500,77.55,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Total Fiber,g,15137,1500,0.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Threonine,g,15137,1500,0.783,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Thiamin,mg,15137,1500,0.053,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Sodium,mg,15137,1500,1072.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Serine,g,15137,1500,0.762,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Riboflavin,mg,15137,1500,0.055,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Glutamic acid,g,15137,1500,3.3,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Phenylalanine,g,15137,1500,0.817,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat","Folate, food",µg,15137,1500,51.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",22:1 undifferentiated,g,15137,1500,0.038,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",20:5 n-3 (EPA),g,15137,1500,0.295,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",20:4 undifferentiated,g,15137,1500,0.043,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",20:01,g,15137,1500,0.014,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",18:3 undifferentiated,g,15137,1500,0.014,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",18:2 undifferentiated,g,15137,1500,0.02,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",22:5 n-3 (DPA),g,15137,1500,0.031,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",18:1 undifferentiated,g,15137,1500,0.089,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",18:00,g,15137,1500,0.019,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",16:1 undifferentiated,g,15137,1500,0.041,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",16:00,g,15137,1500,0.087,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",14:00,g,15137,1500,0.015,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",12:00,g,15137,1500,0.004,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Folic acid,µg,15137,1500,0.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",18:04,g,15137,1500,0.015,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",22:6 n-3 (DHA),g,15137,1500,0.118,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",10:00,g,15137,1500,0.003,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Arginine,g,15137,1500,1.69,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Alanine,g,15137,1500,1.096,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Folate,µg,15137,1500,51.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat","Fatty acids, total saturated",g,15137,1500,0.133,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat","Fatty acids, total polyunsaturated",g,15137,1500,0.536,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat","Fatty acids, total monounsaturated",g,15137,1500,0.185,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Energy,kcal,15137,1500,97.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Energy,kJ,15137,1500,406.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat","Folate, DFE",µg,15137,1500,51.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Copper,mg,15137,1500,1.182,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Cholesterol,mg,15137,1500,53.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Carbohydrate,g,15137,1500,0.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Calcium,mg,15137,1500,59.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Aspartic acid,g,15137,1500,2.0,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Ash,g,15137,1500,1.85,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, cooked, moist heat",Cystine,g,15137,1500,0.217,leg,1.0,134.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Magnesium,mg,15138,1500,43.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Maltose,g,15138,1500,0.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Manganese,mg,15138,1500,0.011,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Menaquinone-4,µg,15138,1500,0.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Methionine,g,15138,1500,0.261,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Phenylalanine,g,15138,1500,0.26,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Pantothenic Acid,mg,15138,1500,0.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Phosphorus,mg,15138,1500,282.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Potassium,mg,15138,1500,90.0,oz,3.0,85.0,1500,Finfish and Shellfish Products
"Crustaceans, crab, alaska king, imitation, made from surimi",Proline,g,15138,1500,0.328,oz,3.0,85.0,1500,Finfish and Shellfish Products
