description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Abiyuch, raw",Manganese,mg,9427,900,0.182,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Phosphorus,mg,9427,900,47.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Potassium,mg,9427,900,304.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Protein,g,9427,900,1.5,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Retinol,µg,9427,900,0.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Sodium,mg,9427,900,20.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Total lipid (fat),g,9427,900,0.1,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw","Sugars, total",g,9427,900,8.55,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Total Fiber,g,9427,900,5.3,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Total Water,g,9427,900,79.9,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Vitamin A,µg,9427,900,5.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Zinc,mg,9427,900,0.31,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Maltose,g,9427,900,0.2,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Sucrose,g,9427,900,0.05,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Magnesium,mg,9427,900,24.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Vitamin C,mg,9427,900,54.1,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Iron,mg,9427,900,1.61,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Lactose,g,9427,900,0.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Calcium,mg,9427,900,8.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Carbohydrate,g,9427,900,17.6,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw","Carotene, alpha",µg,9427,900,0.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw","Carotene, beta",µg,9427,900,60.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Copper,mg,9427,900,0.057,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Ash,g,9427,900,0.9,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Energy,kcal,9427,900,69.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw","Fatty acids, total saturated",g,9427,900,0.014,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw","Fatty acids, total trans",g,9427,900,0.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Fructose,g,9427,900,3.8,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Galactose,g,9427,900,0.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Glucose (dextrose),g,9427,900,4.5,cup,0.5,114.0,900,Fruits and Fruit Juices
"Abiyuch, raw",Energy,kJ,9427,900,290.0,cup,0.5,114.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Retinol,µg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Protein,g,9002,900,0.4,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Potassium,mg,9002,900,97.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Phosphorus,mg,9002,900,9.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Pantothenic Acid,mg,9002,900,0.205,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Niacin,mg,9002,900,0.4,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Folic acid,µg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Lycopene,µg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Lutein + zeaxanthin,µg,9002,900,17.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Folate, food",µg,9002,900,14.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Folate, DFE",µg,9002,900,14.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Folate,µg,9002,900,14.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Riboflavin,mg,9002,900,0.06,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Magnesium,mg,9002,900,12.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Selenium,µg,9002,900,0.1,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin A,µg,9002,900,25.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Sugars, total",g,9002,900,4.5,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Zinc,mg,9002,900,0.1,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin K,µg,9002,900,1.4,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Vitamin E, added",mg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin E,mg,9002,900,0.18,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin C,mg,9002,900,1600.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin B-6,mg,9002,900,0.004,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Sodium,mg,9002,900,3.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Vitamin B-12, added",µg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Fatty acids, total trans",g,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Total lipid (fat),g,9002,900,0.3,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Total Water,g,9002,900,94.3,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Total Fiber,g,9002,900,0.3,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Thiamin,mg,9002,900,0.02,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Theobromine,mg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Vitamin B-12,µg,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Fatty acids, total saturated",g,9002,900,0.068,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",Iron,mg,9002,900,0.5,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw","Fatty acids, total monounsaturated",g,9002,900,0.082,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",20:01,g,9002,900,0.0,cup,1.0,242.0,900,Fruits and Fruit Juices
"Acerola juice, raw",18:3 undifferentiated,g,9002,900,0.044,cup,1.0,242.0,900,Fruits and Fruit Juices
