description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Bacon bits, meatless",Retinol,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Protein,g,43212,1600,32.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Potassium,mg,43212,1600,145.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Phosphorus,mg,43212,1600,217.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Niacin,mg,43212,1600,1.6,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Magnesium,mg,43212,1600,95.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Iron,mg,43212,1600,0.72,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Lutein + zeaxanthin,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Folic acid,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Folate, food",µg,43212,1600,127.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Folate, DFE",µg,43212,1600,127.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Riboflavin,mg,43212,1600,0.07,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Folate,µg,43212,1600,127.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Lycopene,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Selenium,µg,43212,1600,7.4,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Vitamin B-12, added",µg,43212,1600,1.2,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Sugars, total",g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Zinc,mg,43212,1600,1.87,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin K,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Vitamin E, added",mg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin E,mg,43212,1600,6.9,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin D,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin C,mg,43212,1600,1.9,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Sodium,mg,43212,1600,1770.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin B-6,mg,43212,1600,0.08,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin A,µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Total lipid (fat),g,43212,1600,25.9,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Total Water,g,43212,1600,8.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Total Fiber,g,43212,1600,10.2,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Thiamin,mg,43212,1600,0.6,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Theobromine,mg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Vitamin B-12,µg,43212,1600,1.2,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Fatty acids, total polyunsaturated",g,43212,1600,13.548,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Fatty acids, total saturated",g,43212,1600,4.055,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Energy,kcal,43212,1600,476.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Fatty acids, total monounsaturated",g,43212,1600,6.225,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",04:00,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",06:00,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",08:00,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",10:00,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",12:00,g,43212,1600,0.215,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",16:00,g,43212,1600,2.672,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",16:1 undifferentiated,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",18:00,g,43212,1600,1.026,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",18:04,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",18:1 undifferentiated,g,43212,1600,6.225,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",18:2 undifferentiated,g,43212,1600,12.07,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",18:3 undifferentiated,g,43212,1600,1.479,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",20:01,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",20:4 undifferentiated,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",14:00,g,43212,1600,0.143,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",22:1 undifferentiated,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Energy,kJ,43212,1600,1989.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",20:5 n-3 (EPA),g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Cryptoxanthin, beta",µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Copper,mg,43212,1600,0.539,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Cholesterol,mg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Carotene, beta",µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless","Carotene, alpha",µg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Choline,mg,43212,1600,134.8,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Calcium,mg,43212,1600,101.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Caffeine,mg,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Ash,g,43212,1600,5.5,tbsp,1.0,7.0,1600,Legumes and Legume Products
"Bacon bits, meatless",Alcohol,g,43212,1600,0.0,tbsp,1.0,7.0,1600,Legumes and Legume Products
