description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Maltose,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Manganese,mg,32035,2200,0.173,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Magnesium,mg,32035,2200,17.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Lactose,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Iron,mg,32035,2200,0.98,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Glucose (dextrose),g,32035,2200,0.28,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Galactose,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Fructose,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Folate, food",µg,32035,2200,13.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Folate,µg,32035,2200,13.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total saturated",g,32035,2200,4.282,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total trans-monoenoic",g,32035,2200,0.238,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total trans",g,32035,2200,0.291,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Zinc,mg,32035,2200,0.73,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total polyunsaturated",g,32035,2200,1.656,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total monounsaturated",g,32035,2200,5.158,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Energy,kcal,32035,2200,155.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Energy,kJ,32035,2200,650.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Niacin,mg,32035,2200,1.38,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Copper,mg,32035,2200,0.084,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Fatty acids, total trans-polyenoic",g,32035,2200,0.053,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Phosphorus,mg,32035,2200,135.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocotrienol, beta",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Protein,g,32035,2200,6.89,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Cholesterol,mg,32035,2200,36.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Vitamin E,mg,32035,2200,0.29,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Vitamin B-6,mg,32035,2200,0.14,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Vitamin B-12,µg,32035,2200,0.38,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Total lipid (fat),g,32035,2200,11.1,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Total Water,g,32035,2200,73.47,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Total Fiber,g,32035,2200,1.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocotrienol, gamma",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocotrienol, delta",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Potassium,mg,32035,2200,142.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocotrienol, alpha",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocopherol, delta",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocopherol, beta",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Thiamin,mg,32035,2200,0.062,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Sugars, total",g,32035,2200,0.28,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Sucrose,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Starch,g,32035,2200,2.5,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Sodium,mg,32035,2200,517.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Selenium,µg,32035,2200,7.7,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Riboflavin,mg,32035,2200,0.12,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared","Tocopherol, gamma",mg,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Carbohydrate,g,32035,2200,6.96,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",22:1 c,g,32035,2200,0.002,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",Ash,g,32035,2200,1.58,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:1 undifferentiated,g,32035,2200,4.515,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:1 t,g,32035,2200,0.224,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:1 c,g,32035,2200,4.291,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:04,g,32035,2200,0.002,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:00,g,32035,2200,1.251,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",17:01,g,32035,2200,0.043,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",17:00,g,32035,2200,0.063,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",16:1 undifferentiated,g,32035,2200,0.427,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",16:1 t,g,32035,2200,0.014,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",18:2 CLAs,g,32035,2200,0.031,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",16:1 c,g,32035,2200,0.413,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",15:01,g,32035,2200,0.0,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",15:00,g,32035,2200,0.024,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",14:01,g,32035,2200,0.059,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",14:00,g,32035,2200,0.197,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",12:00,g,32035,2200,0.009,patty,1.0,72.0,2200,"Meals, Entrees, and Side Dishes"
