description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Nuts, acorn flour, full fat",Magnesium,mg,12060,1200,110.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Protein,g,12060,1200,7.49,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Proline,g,12060,1200,0.3,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Potassium,mg,12060,1200,712.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Phosphorus,mg,12060,1200,103.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Niacin,mg,12060,1200,2.382,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Pantothenic Acid,mg,12060,1200,0.931,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Methionine,g,12060,1200,0.126,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Manganese,mg,12060,1200,1.743,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Retinol,µg,12060,1200,0.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Phenylalanine,g,12060,1200,0.328,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Riboflavin,mg,12060,1200,0.154,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Tyrosine,g,12060,1200,0.227,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Sodium,mg,12060,1200,0.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Thiamin,mg,12060,1200,0.146,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Threonine,g,12060,1200,0.288,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Total Water,g,12060,1200,6.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Total lipid (fat),g,12060,1200,30.17,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Tryptophan,g,12060,1200,0.09,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Valine,g,12060,1200,0.421,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Vitamin A,µg,12060,1200,3.0,oz,1.0,28.35,1200,Nut and Seed Products
"Nuts, acorn flour, full fat",Vitamin B-12,µg,12060,1200,0.0,oz,1.0,28.35,1200,Nut and Seed Products
