description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"APPLEBEE'S, 9 oz house sirloin steak",04:00,g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Phosphorus,mg,36000,3600,202.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Phenylalanine,g,36000,3600,1.121,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Pantothenic Acid,mg,36000,3600,0.345,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Niacin,mg,36000,3600,4.903,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Methionine,g,36000,3600,0.648,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Manganese,mg,36000,3600,0.014,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Maltose,g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Magnesium,mg,36000,3600,24.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Lysine,g,36000,3600,2.332,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Leucine,g,36000,3600,2.263,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Lactose,g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Potassium,mg,36000,3600,350.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Isoleucine,g,36000,3600,1.334,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Histidine,g,36000,3600,0.976,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Glycine,g,36000,3600,1.245,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Glutamic acid,g,36000,3600,4.323,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Glucose (dextrose),g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Galactose,g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak",Fructose,g,36000,3600,0.0,serving,1.0,157.0,3600,Restaurant Foods
"APPLEBEE'S, 9 oz house sirloin steak","Fatty acids, total trans-polyenoic",g,36000,3600,0.054,serving,1.0,157.0,3600,Restaurant Foods
