description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
Bacon and beef sticks,Methionine,g,7921,700,0.593,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Proline,g,7921,700,1.188,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Potassium,mg,7921,700,385.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Phosphorus,mg,7921,700,142.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Phenylalanine,g,7921,700,0.868,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Pantothenic Acid,mg,7921,700,1.06,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Niacin,mg,7921,700,4.867,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Manganese,mg,7921,700,0.038,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Leucine,g,7921,700,1.732,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Lysine,g,7921,700,1.824,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Lycopene,µg,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Lutein + zeaxanthin,µg,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Isoleucine,g,7921,700,0.971,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Iron,mg,7921,700,1.86,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Histidine,g,7921,700,0.699,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Glycine,g,7921,700,1.641,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Protein,g,7921,700,29.1,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Magnesium,mg,7921,700,17.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Retinol,µg,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Glutamic acid,g,7921,700,3.383,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Selenium,µg,7921,700,26.1,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Zinc,mg,7921,700,3.23,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Vitamin K,µg,7921,700,1.6,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Vitamin C,mg,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Vitamin B-6,mg,7921,700,0.5,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Vitamin B-12,µg,7921,700,1.9,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Vitamin A,µg,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Valine,g,7921,700,1.083,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Tyrosine,g,7921,700,0.71,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Riboflavin,mg,7921,700,0.285,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Tryptophan,g,7921,700,0.21,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Total Water,g,7921,700,21.6,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Total Fiber,g,7921,700,0.0,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Threonine,g,7921,700,0.959,oz,1.0,28.0,700,Sausages and Luncheon Meats
Bacon and beef sticks,Thiamin,mg,7921,700,0.6,oz,1.0,28.0,700,Sausages and Luncheon Meats
