description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Breakfast bar, corn flake crust with fruit",Retinol,µg,43595,2500,608.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Protein,g,43595,2500,4.4,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Potassium,mg,43595,2500,197.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Phosphorus,mg,43595,2500,103.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Pantothenic Acid,mg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Niacin,mg,43595,2500,13.5,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Lutein + zeaxanthin,µg,43595,2500,40.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Lycopene,µg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Iron,mg,43595,2500,4.86,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Folic acid,µg,43595,2500,95.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Folate, food",µg,43595,2500,13.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Riboflavin,mg,43595,2500,1.1,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Folate, DFE",µg,43595,2500,174.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Magnesium,mg,43595,2500,27.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Selenium,µg,43595,2500,15.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin B-12,µg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Sugars, total",g,43595,2500,35.1,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Folate,µg,43595,2500,108.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin K,µg,43595,2500,13.8,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Vitamin E, added",mg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin E,mg,43595,2500,0.76,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin D,µg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin C,mg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Sodium,mg,43595,2500,337.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin B-6,mg,43595,2500,1.4,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Vitamin A,µg,43595,2500,608.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Total lipid (fat),g,43595,2500,7.5,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Total Water,g,43595,2500,14.5,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Zinc,mg,43595,2500,4.1,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Thiamin,mg,43595,2500,1.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Theobromine,mg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Vitamin B-12, added",µg,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Fatty acids, total saturated",g,43595,2500,1.5,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",Total Fiber,g,43595,2500,2.1,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Fatty acids, total monounsaturated",g,43595,2500,5.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",20:01,g,43595,2500,0.023,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",18:3 undifferentiated,g,43595,2500,0.056,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",18:2 undifferentiated,g,43595,2500,0.85,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",18:1 undifferentiated,g,43595,2500,4.977,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",18:04,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",16:1 undifferentiated,g,43595,2500,0.054,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",20:4 undifferentiated,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",16:00,g,43595,2500,0.86,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",12:00,g,43595,2500,0.002,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",10:00,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",08:00,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",06:00,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",04:00,g,43595,2500,0.0,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit","Fatty acids, total polyunsaturated",g,43595,2500,0.9,oz,1.0,28.35,2500,Snacks
"Breakfast bar, corn flake crust with fruit",14:00,g,43595,2500,0.001,oz,1.0,28.35,2500,Snacks
