description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Selenium,µg,6395,600,5.7,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Niacin,mg,6395,600,1.352,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Phosphorus,mg,6395,600,35.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Potassium,mg,6395,600,90.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Protein,g,6395,600,3.41,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Riboflavin,mg,6395,600,0.023,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Sodium,mg,6395,600,325.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Manganese,mg,6395,600,0.058,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Sucrose,g,6395,600,0.41,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup","Sugars, total",g,6395,600,0.41,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Thiamin,mg,6395,600,0.017,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Total Fiber,g,6395,600,1.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Total Water,g,6395,600,88.9,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Total lipid (fat),g,6395,600,1.3,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Vitamin C,mg,6395,600,0.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Starch,g,6395,600,4.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Zinc,mg,6395,600,0.18,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Maltose,g,6395,600,0.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Lactose,g,6395,600,0.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Magnesium,mg,6395,600,7.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Ash,g,6395,600,0.98,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",Calcium,mg,6395,600,11.0,cup,1.0,243.0,600,"Soups, Sauces, and Gravies"
