description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Basil, fresh",Sucrose,g,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Potassium,mg,2044,200,295.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Proline,g,2044,200,0.104,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Protein,g,2044,200,3.15,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Retinol,µg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Sodium,mg,2044,200,4.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Selenium,µg,2044,200,0.3,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Serine,g,2044,200,0.099,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Phosphorus,mg,2044,200,56.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Riboflavin,mg,2044,200,0.076,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Phenylalanine,g,2044,200,0.13,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Leucine,g,2044,200,0.191,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Niacin,mg,2044,200,0.902,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Methionine,g,2044,200,0.036,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Manganese,mg,2044,200,1.148,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Maltose,g,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Magnesium,mg,2044,200,64.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Lysine,g,2044,200,0.11,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Lycopene,µg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Lutein + zeaxanthin,µg,2044,200,5650.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Lactose,g,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh","Sugars, total",g,2044,200,0.3,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Pantothenic Acid,mg,2044,200,0.209,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Theobromine,mg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin E,mg,2044,200,0.8,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Threonine,g,2044,200,0.104,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Zinc,mg,2044,200,0.81,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin K,µg,2044,200,414.8,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh","Vitamin E, added",mg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Isoleucine,g,2044,200,0.104,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin D,µg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin C,mg,2044,200,18.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin B-6,mg,2044,200,0.155,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh","Vitamin B-12, added",µg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin B-12,µg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Vitamin A,µg,2044,200,264.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Valine,g,2044,200,0.127,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Tyrosine,g,2044,200,0.077,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Tryptophan,g,2044,200,0.039,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Total lipid (fat),g,2044,200,0.64,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Total Water,g,2044,200,92.06,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh",Total Fiber,g,2044,200,1.6,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh","Tocotrienol, gamma",mg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
"Basil, fresh","Tocotrienol, delta",mg,2044,200,0.0,leaves,5.0,2.5,200,Spices and Herbs
