description,name,unit_name,fdc_id,group,amount,portion_name,portion_amount,gram_weight,FdGrp_Cd,FdGrp_desc
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Protein,g,19146,1900,4.78,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Vitamin C,mg,19146,1900,0.6,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Total lipid (fat),g,19146,1900,23.36,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Total Water,g,19146,1900,1.5,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits","Sugars, total",g,19146,1900,62.54,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Sodium,mg,19146,1900,68.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Iron,mg,19146,1900,1.23,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Total Fiber,g,19146,1900,2.7,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits","Fatty acids, total saturated",g,19146,1900,14.466,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Energy,kcal,19146,1900,502.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Energy,kJ,19146,1900,2102.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Cholesterol,mg,19146,1900,15.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits","Fatty acids, total trans",g,19146,1900,0.184,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Carbohydrate,g,19146,1900,68.4,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Calcium,mg,19146,1900,116.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",Ash,g,19146,1900,1.78,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",Vitamin C,mg,19139,1900,0.0,"serving 0.5 oz, about 1 tbsp",1.0,14.0,1900,Sweets
