description,name,unit_name,fdc_id,amount,measure_unit_id,portion_name,portion_amount,gram_weight
"Bananas, overripe, raw",Biotin,UG,790774,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Energy,KCAL,790774,85.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Fiber,G,790774,1.7,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Folate,UG,790774,25.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Niacin,MG,790774,0.57,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Protein,G,790774,0.73,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Riboflavin,MG,790774,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Thiamin,MG,790774,0.04,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Total lipid (fat),G,790774,0.22,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin A,UG,790774,1.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin B 6,MG,790774,0.234,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin C,MG,790774,9.7,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (Dihydrophylloquinone),UG,790774,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (Menaquinone-4),UG,790774,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (phylloquinone),UG,790774,0.2,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Biotin,UG,1105073,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Energy,KCAL,1105073,85.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Fiber,G,1105073,1.7,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Folate,UG,1105073,25.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Niacin,MG,1105073,0.57,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Protein,G,1105073,0.73,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Riboflavin,MG,1105073,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Thiamin,MG,1105073,0.04,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Total lipid (fat),G,1105073,0.22,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin A,UG,1105073,1.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin B 6,MG,1105073,0.234,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin C,MG,1105073,9.7,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (Dihydrophylloquinone),UG,1105073,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (Menaquinone-4),UG,1105073,0.0,1119,Banana,1.0,110.0
"Bananas, overripe, raw",Vitamin K (phylloquinone),UG,1105073,0.2,1119,Banana,1.0,110.0
"Bananas, ripe and slightly ripe, raw",Biotin,UG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Calcium,MG,790991,5.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Copper,MG,790991,0.101,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Energy,KCAL,790991,97.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Fiber,G,790991,1.7,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Folate,UG,790991,14.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Iodine,UG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Iron,MG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Magnesium,MG,790991,28.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Manganese,MG,790991,0.258,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Niacin,MG,790991,0.662,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Phosphorus,MG,790991,22.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Potassium,MG,790991,326.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Protein,G,790991,0.74,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Riboflavin,MG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Selenium,UG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Sodium,MG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Thiamin,MG,790991,0.056,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Total lipid (fat),G,790991,0.29,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin A,UG,790991,1.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin B 6,MG,790991,0.209,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin C,MG,790991,12.3,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin K (Dihydrophylloquinone),UG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin K (Menaquinone-4),UG,790991,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin K (phylloquinone),UG,790991,0.1,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Zinc,MG,790991,0.16,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Biotin,UG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Calcium,MG,1105314,5.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Copper,MG,1105314,0.101,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Energy,KCAL,1105314,97.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Fiber,G,1105314,1.7,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Folate,UG,1105314,14.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Iodine,UG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Iron,MG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Magnesium,MG,1105314,28.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Manganese,MG,1105314,0.258,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Niacin,MG,1105314,0.662,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Phosphorus,MG,1105314,22.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Potassium,MG,1105314,326.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Protein,G,1105314,0.74,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Riboflavin,MG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Selenium,UG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Sodium,MG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Thiamin,MG,1105314,0.056,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Total lipid (fat),G,1105314,0.29,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin A,UG,1105314,1.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin B 6,MG,1105314,0.209,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin C,MG,1105314,12.3,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin K (Dihydrophylloquinone),UG,1105314,0.0,1119,Banana,1.0,115.0
"Bananas, ripe and slightly ripe, raw",Vitamin K (Menaquinone-4),UG,1105314,0.0,1119,Banana,1.0,115.0
