description,name,unit_name,fdc_id,amount,measure_unit_id,portion_name,portion_amount,gram_weight
"Almond butter, creamy",Biotin,UG,2262074,57.31,,,,
"Almond butter, creamy",Zinc,MG,2262074,3.178,,,,
"Almond butter, creamy",Vitamin K (phylloquinone),UG,2262074,0,,,,
"Almond butter, creamy",Vitamin E ,MG,2262074,16.67,,,,
"Almond butter, creamy",Vitamin B 6,MG,2262074,0.08375,,,,
"Almond butter, creamy",Total lipid (fat),G,2262074,53.04,,,,
"Almond butter, creamy",Sodium,MG,2262074,0.9963,,,,
"Almond butter, creamy",Selenium,UG,2262074,0.7938,,,,
"Almond butter, creamy",Protein,G,2262074,20.78734,,,,
"Almond butter, creamy",Potassium,MG,2262074,745.4,,,,
"Almond butter, creamy",Thiamin,MG,2262074,0.09456,,,,
"Almond butter, creamy",Niacin,MG,2262074,3.909,,,,
"Almond butter, creamy",Phosphorus,MG,2262074,506.9,,,,
"Almond butter, creamy",Copper,MG,2262074,0.9746,,,,
"Almond butter, creamy",Fiber,G,2262074,9.718,,,,
"Almond butter, creamy",Folate,UG,2262074,42.46,,,,
"Almond butter, creamy",Calcium,MG,2262074,263.8,,,,
"Almond butter, creamy",Magnesium,MG,2262074,267.8,,,,
"Almond butter, creamy",Manganese,MG,2262074,2.135,,,,
"Almond butter, creamy",Iron,MG,2262074,4.108,,,,
"Almond milk, unsweetened, plain, refrigerated",Protein,G,2257045,0.65625,,,,
"Almond milk, unsweetened, plain, refrigerated",Zinc,MG,2257045,0.07661,,,,
"Almond milk, unsweetened, plain, refrigerated",Vitamin D (D2 + D3),UG,2257045,1.59,,,,
"Almond milk, unsweetened, plain, refrigerated",Vitamin B 6,MG,2257045,0,,,,
"Almond milk, unsweetened, plain, refrigerated",Vitamin B 12,UG,2257045,0.4492,,,,
"Almond milk, unsweetened, plain, refrigerated",Total lipid (fat),G,2257045,1.558,,,,
"Almond milk, unsweetened, plain, refrigerated",Thiamin,MG,2257045,0.005,,,,
"Almond milk, unsweetened, plain, refrigerated",Sodium,MG,2257045,59.22,,,,
"Almond milk, unsweetened, plain, refrigerated",Potassium,MG,2257045,49.27,,,,
"Almond milk, unsweetened, plain, refrigerated",Riboflavin,MG,2257045,0.08333,,,,
"Almond milk, unsweetened, plain, refrigerated",Niacin,MG,2257045,0.08875,,,,
"Almond milk, unsweetened, plain, refrigerated",Manganese,MG,2257045,0.05642,,,,
"Almond milk, unsweetened, plain, refrigerated",Magnesium,MG,2257045,8.249,,,,
"Almond milk, unsweetened, plain, refrigerated",Iron,MG,2257045,0.1247,,,,
"Almond milk, unsweetened, plain, refrigerated",Folate,UG,2257045,0,,,,
"Almond milk, unsweetened, plain, refrigerated",Fiber,G,2257045,0,,,,
"Almond milk, unsweetened, plain, refrigerated",Copper,MG,2257045,0.02688,,,,
"Almond milk, unsweetened, plain, refrigerated",Calcium,MG,2257045,157.5,,,,
"Almond milk, unsweetened, plain, refrigerated",Biotin,UG,2257045,1.425,,,,
"Almond milk, unsweetened, plain, refrigerated",Phosphorus,MG,2257045,19.08,,,,
"Almond milk, unsweetened, plain, shelf stable",Total fat,G,1999631,1.1089,,,,
"Almond milk, unsweetened, plain, shelf stable",Total fat,G,1750338,1.1089,,,,
"Almond milk, unsweetened, plain, shelf stable",Thiamin,MG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Thiamin,MG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Riboflavin,MG,1999631,0.03339,,,,
"Almond milk, unsweetened, plain, shelf stable",Sodium,MG,1750338,59.58,,,,
"Almond milk, unsweetened, plain, shelf stable",Selenium,UG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Selenium,UG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Total lipid (fat),G,1750338,1.221,,,,
"Almond milk, unsweetened, plain, shelf stable",Riboflavin,MG,1750338,0.03339,,,,
"Almond milk, unsweetened, plain, shelf stable",Sodium,MG,1999631,59.58,,,,
"Almond milk, unsweetened, plain, shelf stable",Total lipid (fat),G,1999631,1.221,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin B 6,MG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin A,UG,1999631,41.4,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin B 12,UG,1750338,0.3375,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin B 12,UG,1999631,0.3375,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin B 6,MG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin D (D2 + D3),UG,1750338,0.927,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin D (D2 + D3),UG,1999631,0.927,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin E ,MG,1750338,3.323,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin E ,MG,1999631,3.323,,,,
"Almond milk, unsweetened, plain, shelf stable",Zinc,MG,1750338,0.1718,,,,
"Almond milk, unsweetened, plain, shelf stable",Zinc,MG,1999631,0.1718,,,,
"Almond milk, unsweetened, plain, shelf stable",Protein,G,1999631,0.5546875,,,,
"Almond milk, unsweetened, plain, shelf stable",Vitamin A,UG,1750338,41.4,,,,
"Almond milk, unsweetened, plain, shelf stable",Protein,G,1750338,0.5546875,,,,
"Almond milk, unsweetened, plain, shelf stable",Phosphorus,MG,1750338,29.85,,,,
"Almond milk, unsweetened, plain, shelf stable",Potassium,MG,1750338,30.79,,,,
"Almond milk, unsweetened, plain, shelf stable",Potassium,MG,1999631,30.79,,,,
"Almond milk, unsweetened, plain, shelf stable",Biotin,UG,1750338,1.019,,,,
"Almond milk, unsweetened, plain, shelf stable",Biotin,UG,1999631,1.019,,,,
"Almond milk, unsweetened, plain, shelf stable",Calcium,MG,1750338,172.7,,,,
"Almond milk, unsweetened, plain, shelf stable",Calcium,MG,1999631,172.7,,,,
"Almond milk, unsweetened, plain, shelf stable",Copper,MG,1750338,0.02126,,,,
"Almond milk, unsweetened, plain, shelf stable",Copper,MG,1999631,0.02126,,,,
"Almond milk, unsweetened, plain, shelf stable",Fiber,G,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Fiber,G,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Folate,UG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Iodine,UG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Iodine,UG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Folate,UG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Iron,MG,1999631,0.2899,,,,
"Almond milk, unsweetened, plain, shelf stable",Phosphorus,MG,1999631,29.85,,,,
"Almond milk, unsweetened, plain, shelf stable",Iron,MG,1750338,0.2899,,,,
"Almond milk, unsweetened, plain, shelf stable",Niacin,MG,1750338,0.07438,,,,
"Almond milk, unsweetened, plain, shelf stable",Molybdenum,UG,1999631,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Molybdenum,UG,1750338,0,,,,
"Almond milk, unsweetened, plain, shelf stable",Niacin,MG,1999631,0.07438,,,,
